Prompt,Category,Challenge,Note
a logo,Illustrations,Basic,
a circular logo,Illustrations,Basic,
a coffee mug,Artifacts,Basic,
a pig,Animals,Basic,
a squirrel,Animals,Basic,
a hammer,Artifacts,Basic,
a screwdriver,Artifacts,Basic,
a handsaw,Artifacts,Basic,
a power drill,Artifacts,Basic,
a cocktail,Food & Beverage,Basic,
a margarita,Food & Beverage,Basic,
an avocado,Produce & Plants,Basic,
a kitchen,Indoor Scenes,Basic,
an iPhone case,Artifacts,Basic,
a coffee maker,Artifacts,Basic,
a banana,Produce & Plants,Basic,
a violin,Artifacts,Basic,
a room,Indoor Scenes,Basic,
a mountain,Outdoor Scenes,Basic,
a bird,Animals,Basic,
a TV,Artifacts,Basic,
a Christmas tree,Artifacts,Basic,
a zebra,Animals,Basic,
a koi fish,Animals,Basic,
a pineapple,Produce & Plants,Basic,
a toaster,Artifacts,Basic,
a sign,Artifacts,Basic,
a red lego block,Artifacts,Basic,
teacup,Artifacts,Basic,
chair,Artifacts,Basic,
waterfall,Outdoor Scenes,Basic,
a pirate ship,Vehicles,Basic,
a dragon,Animals,Basic,
a present,Artifacts,Basic,
a bottle,Artifacts,Basic,
a book cover,Illustrations,Basic,
a sweatshirt,Artifacts,Basic,
matching socks,Artifacts,Basic,
cash,Artifacts,Basic,
a wood cabin,Indoor Scenes,Basic,
a clock tower,Artifacts,Basic,
a chimpanzee,Animals,Basic,
a hat,Artifacts,Basic,
sneakers,Artifacts,Basic,
a roast turkey,Food & Beverage,Basic,
a turkey,Animals,Basic,
a plate,Artifacts,Basic,
a ladder,Artifacts,Basic,
a Tyrannosaurus Rex,Animals,Basic,
a Stegasaurus,Animals,Basic,
a Triceratops,Animals,Basic,
a Styracosaurus,Animals,Basic,
a Diplodocus,Animals,Basic,
a yellow sticky note,Artifacts,Basic,
a ball,Artifacts,Basic,
red balls,Artifacts,Basic,
an ostrich,Animals,Basic,
a stone path,Outdoor Scenes,Basic,
a wooden deck,Outdoor Scenes,Basic,
an F1 race car,Vehicles,Basic,
a taxi,Vehicles,Basic,
a road,Outdoor Scenes,Basic,
a volcano,Outdoor Scenes,Basic,
a large open book,Artifacts,Basic,
a living room,Indoor Scenes,Basic,
an elephant,Animals,Basic,
a tree,Produce & Plants,Basic,
a dolphin,Animals,Basic,
a rowboat,Vehicles,Basic,
a crown,Artifacts,Basic,
a pick-up truck,Vehicles,Basic,
a key,Artifacts,Basic,
a goat,Animals,Basic,
a chest,Artifacts,Basic,
a coffee table,Artifacts,Basic,
toy cars,Artifacts,Basic,
a bookshelf,Artifacts,Basic,
the moon,Outdoor Scenes,Basic,
the Earth,Outdoor Scenes,Basic,
the planet Jupiter,Outdoor Scenes,Basic,
a tornado,Outdoor Scenes,Basic,
a tidal wave,Outdoor Scenes,Basic,
a laptop screen,Artifacts,Basic,
an airplane,Vehicles,Basic,
a butterfly,Animals,Basic,
a lizard,Animals,Basic,
a turtle,Animals,Basic,
an octopus,Animals,Basic,
a book,Artifacts,Basic,
a moose,Animals,Basic,
a doorknocker,Artifacts,Basic,
a rabbit,Animals,Basic,
orange juice,Food & Beverage,Basic,
a green pepper,Food & Beverage,Basic,
beer,Food & Beverage,Basic,
a pickup truck,Vehicles,Basic,
a shoe,Artifacts,Basic,
a plant,Produce & Plants,Basic,
a flower,Produce & Plants,Basic,
a pair of headphones,Artifacts,Basic,
a chemtrail,Outdoor Scenes,Basic,
a tennis court,Outdoor Scenes,Basic,
a ceiling fan,Indoor Scenes,Basic,
a fire hydrant,Artifacts,Basic,
a wooden post,Artifacts,Basic,
a trash bin,Artifacts,Basic,
a piano,Artifacts,Basic,
a musical note,Illustrations,Basic,
a harp,Artifacts,Basic,
a tuba,Artifacts,Basic,
a windmill,Outdoor Scenes,Basic,
a motorcycle,Vehicles,Basic,
a painting of black and white,Illustrations,Basic,
a marina,Outdoor Scenes,Basic,
